activityrecordid,obdfileid,hexcode1,hexcode2,hexcode3,misfire_supported,misfire_incomplete,fuelsystem_supported,fuelsystem_incomplete,comprehensivecomponent_supported,comprehensivecomponent_incomplete,catalyst_supported,catalyst_incomplete,heatedcatalyst_supported,heatedcatalyst_incomplete,evaporativesystem_supported,evaporativesystem_incomplete,secondaryairsystem_supported,secondaryairsystem_incomplete,acsystemrefrigerant_supported,acsystemrefrigerant_incomplete,oxygensensor_supported,oxygensensor_incomplete,oxygensensorheater_supported,oxygensensorheater_incomplete,egrsystem_supported,egrsystem_incomplete
99,2,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
100,2,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
137,8,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
138,8,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
139,8,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
140,8,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
141,8,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
142,8,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
143,8,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
144,8,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
145,8,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
146,8,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
147,8,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
148,8,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
149,8,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
150,8,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
151,8,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
152,8,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
153,8,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
154,8,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
155,8,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
156,8,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
157,8,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
158,8,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
159,8,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
160,8,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
161,8,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
162,8,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
163,8,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
164,8,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
165,8,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
166,8,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
167,8,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
168,8,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
169,8,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
170,8,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
171,8,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
172,8,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
173,8,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
174,8,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
175,8,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
176,8,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
177,8,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
178,8,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
179,8,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
180,8,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
181,8,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
182,8,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
183,8,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
184,8,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
185,8,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
186,8,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
187,8,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
188,8,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
189,8,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
190,8,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
191,8,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
192,8,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
193,8,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
194,8,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
195,8,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
196,8,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
197,8,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
198,8,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
199,8,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
200,8,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
201,8,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
202,8,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
203,8,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
204,8,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
205,8,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
206,8,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
207,8,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
208,8,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
209,8,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
210,8,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
211,8,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
212,8,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
213,8,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
214,8,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
215,8,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
216,8,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
217,8,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
218,8,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
219,8,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
220,8,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
221,8,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
222,8,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
223,8,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
224,8,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
251,14,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
252,14,18,9F,F0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,0,1,0,1,1
253,14,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
254,14,18,9F,F0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,0,1,0,1,1
255,14,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
256,14,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
257,14,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
258,14,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
259,14,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
260,14,18,9F,F0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,0,1,0,1,1
261,14,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
262,14,18,9F,F0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,0,1,0,1,1
263,14,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
264,14,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
265,14,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
266,14,18,9F,F0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,0,1,0,1,1
267,14,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
268,14,18,9F,F0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,0,1,0,1,1
269,14,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
270,14,18,9F,F0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,0,1,0,1,1
271,14,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
272,14,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
273,14,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
274,14,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
275,14,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
276,14,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
277,14,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
278,14,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
279,14,18,9F,F0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,0,1,0,1,1
280,14,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
281,14,18,9F,F0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,0,1,0,1,1
282,14,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
283,14,18,9F,F0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,0,1,0,1,1
284,14,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
285,14,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
286,14,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
287,14,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
288,14,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
289,14,18,9F,F0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,0,1,0,1,1
290,14,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
291,14,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
292,14,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
293,14,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
294,14,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
295,14,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
296,14,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
297,14,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
298,14,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
299,14,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
300,14,18,9F,F0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,0,1,0,1,1
301,14,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
302,14,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
303,14,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
304,14,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
305,14,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
306,14,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
307,14,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
308,14,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
309,14,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
310,14,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
311,14,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
312,14,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
313,14,18,9F,F0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,0,1,0,1,1
314,14,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
315,14,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
316,14,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
317,14,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
318,14,18,9F,F0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,0,1,0,1,1
319,14,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
320,14,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
321,14,18,9F,F0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,0,1,0,1,1
322,14,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
323,14,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
324,14,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
325,14,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
326,14,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
327,14,18,9F,F0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,0,1,0,1,1
328,14,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
329,14,18,9F,F0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,0,1,0,1,1
330,14,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
331,14,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
332,14,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
333,14,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
334,14,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
335,14,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
336,14,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
337,14,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
338,14,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
339,14,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
340,14,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
341,14,18,9F,F0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,0,1,0,1,1
342,14,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
343,14,18,9F,F0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,0,1,0,1,1
344,14,E5,F0,18,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1
